Country,Region,IMF Est. ($B),World Bank Est. ($B),UN Est. ($B),Average Est. ($B)
United States,Americas,26854.6,25462.7,23315.08,25210.79
China,Asia,19373.59,17963.17,17734.13,18356.96
Japan,Asia,4409.74,4231.14,4940.88,4527.25
Germany,Europe,4308.85,4072.19,4259.94,4213.66
India,Asia,3736.88,3385.09,3201.47,3441.15
United Kingdom,Europe,3158.94,3070.67,3131.38,3120.33
France,Europe,2923.49,2782.9,2957.88,2888.09
Italy,Europe,2169.74,2010.43,2107.7,2095.96
Canada,Americas,2089.67,2139.84,1988.34,2072.62
Russia,Europe,2062.65,2240.42,1778.78,2027.28
